Keys,English (Canada),French (Canada)
##help_sidebar_firstsoldier_text7,"<color=#ffc50a>Pro tip:</color> Soldiers cannot be assigned to tasks, and cannot carry stuff around.",<color=#ffc50a>Astuce:</color> Les soldats ne peuvent pas se faire assigner à des tâches et ne peuvent pas transporter du matériel. 
##help_sidebar_firstsoldier_button,Create a halberdier to continue,Créez un Hallebardier pour continuer
##help_sidebar_firstsoldier_tooltip_title,Queue a Halberdier,Mettez à la file un kit d'Hallebardier
##help_sidebar_firstsoldier_tooltip_text,Use the Workbench to queue a halberdier kit.,Utilisez l'établi pour ajouter un kit d'hallebardier à la file de production.
##help_sidebar_craftinganarcher_title,Crafting,Création
##help_sidebar_craftinganarcher_text1,Crafting an archer,Créer un archer
##help_sidebar_craftinganarcher_text2,"Let's craft an archer kit! <color=#ffc50a>We will need Rope, Fabric and Planks.</color>",Allons fabriquer un kit d'archer!
##help_sidebar_craftinganarcher_text3,Gather some plants,Récolter des plantes
##help_sidebar_craftinganarcher_text4,Rope and fabric are made with plant fiber. Place a harvest plants task on a nerby patch of ferns.,La corde et le textile sont fabriqués avec de la fibre végétale. Placez une tâche de récolte de plantes sur de la végétation près de votre base. 
##help_sidebar_craftinganarcher_text5,<color=#ffc50a>Pro tip: make sure you have empty stockpiles for the plants</color>.,<color=#ffc50a>Astuce: Assurez vous d'avoir quelques palettes vides pour la fibre végétale!</color> 
##help_sidebar_craftinganarcher_text6,Create a loom,Créer un Métier à Tisser
##help_sidebar_craftinganarcher_text7,"The plants will need to be transformed into rope and fabric using a Loom. In the structures tabs, <color=#ffc50a>select a Loom,</color> and place it anywhere. \n\nOnce the loom is built, click on it, and <color=#ffc50a>queue 1 fabric roll, and 1 rope coil</color> in the taskbar popup.","Dans le menu de structures, <color=#ffc50a>sélectionnez le Métier à Tisser</color> et placez le n'importe où. \n\nUne fois construit, cliquez dessus et avec la barre de tâches du métier à tisser, <color=#ffc50a>placez à la file de production, 1 ballot de corde et 1 rouleau de textile</color>."
##help_sidebar_craftinganarcher_text8,Create an archer kit,Créer un kit d'Archer
##help_sidebar_craftinganarcher_text9,"In the workbench, <color=#ffc50a>queue 1 archer kit.</color> If you have the required resources, a worker should get started immediately.","Avec l'établi, <color=#ffc50a>placez à la file de production 1 kit d'archer.</color>"
##help_sidebar_craftinganarcher_button,Equip an archer kit to continue,Équippez un archer pour continuer
##help_sidebar_craftinganarcher_tooltip_title,Crafting an Archer,Fabriquer un kit d'archer
##help_sidebar_craftinganarcher_tooltip_text,Use the workbench to queue an archer kit.,Utilisez l'établi pour ajouter un kit d'archer à la file de production.
##help_sidebar_spawningnewworkers_title,Building your Castle,Constuire votre château
##help_sidebar_spawningnewworkers_text1,Spawning New Workers,Invoquer plus de travailleurs
##help_sidebar_spawningnewworkers_text2,"<color=#ffc50a>Your home crystal generates energy passively.</color> This energy can be used to spawn new Bricktrons. \n
You can see this energy in the form of <color=#3a7bff>blue wisps</color> orbiting your home crystal. Once you have enough blue wisps, they will merge together to create a <color=#ffc50a>bright yellow wisp.</color>\n\nYou can see how much energy you have and how much is needed for the next Bricktron in the taskbar to popup above your home crystal.","<color=#ffc50a>Votre cristal principal génère de l'énergie passivement.</color> Cette énergie peut être utilisée pour invoquer de nouveaux Bricktrons. \nVous pouvez voir cette énergie sous forme de <color=#3a7bff>Feu-Follet Bleu</color> volant autour de votre cristal. Une fois qu'il y a assez de feu-follet bleu, ils vont former ensemble un <color=#ffc50a>Feu-Follet Jaune.</color>\n\nVous pouvez voir combien d'énergie vous avez de besoin avant d'aquiérir un nouveau Bricktron dans la barre de tâche sous votre cristal principal."
##help_sidebar_spawningnewworkers_text3,Spawning a Bricktron,Invoquer un Bricktron
##help_sidebar_spawningnewworkers_text4,<color=#ffc50a>Click on the spawn a new Bricktron button</color> in the taskbar popup. A worker should appear instantly near your Home Crystal,<color=#ffc50a>Cliquez sur le bouton du Bricktron</color> dans la barre de tâche au bas de l'écran à gauche. Un travailleur devrait apparaître instantanément près de votre Cristal Principal.
##help_sidebar_spawningnewworkers_text5,<color=#ffc50a>Pro tip:</color> You can <color=#ffc50a>capture shards around the map</color> to help generate more energy.,<color=#ffc50a>Astuce:</color> Vous pouvez capturer des <color=#ffc50a>fragments de cristal sur la map</color> pour récolter de l'énergie plus rapidement.
##help_sidebar_spawningnewworkers_button,Spawn a new Bricktron to continue,Invoquez un nouveau Bricktron pour continuer
##help_sidebar_spawningnewworkers_tooltip_title,Spawning Bricktrons,Invoquer un Bricktron
##help_sidebar_spawningnewworkers_tooltip_text,Open up the pie menu on your crystal or select the Idle task to spawn a new Bricktron.,Ouvrez le menu contextuel sur votre cristal principal pour invoquer un Bricktron.
##help_sidebar_makingbricks_title,Building your Castle,Construire votre château
##help_sidebar_makingbricks_text1,Making bricks,Faire des briques
##help_sidebar_makingbricks_text2,"Now that your village grew larger, let's create some walls to protect them. \n
<color=#ffc50a>We will need stone to make bricks</color>, lots of them! Let's make a quarry to gather more stone.","<color=#ffc50a>Nous allons avoir besoin de pierres pour faire des briques</color>, beaucoup de briques! Allons faire une carrière pour récolter plus de pierres."
##help_sidebar_makingbricks_text3,Creating a Quarry,Créer une Carrière
##help_sidebar_makingbricks_text4,"In the new tasks menu, <color=#ffc50a>select Quarry.</color>\n\nNow <color=#ffc50a>click on an empty patch of ground</color> to place the quarry. A yellow outline of a hole in the ground will appear.","Dans le menu des tâches, <color=#ffc50a>selectionnez la Carrière.</color>\n\nMaintenant <color=#ffc50a>cliquez sur une partie vide du sol</color> pour placer la carrière. Un contour jaune d'un trou dans le sol va apparaître, ainsi que des escaliers."
##help_sidebar_makingbricks_text5,"<color=#ffc50a>Pro tip: Don't place your quarry on an existing structure or too close to your home crystal.</color> The Bricktons will either destroy the structures, or fail to dig the ground.",<color=#ffc50a>Astuce: Ne placez pas votre carrière sous une structure ou trop près de votre cristal.</color> Les Bricktrons risque de ne pas réussir à creuser le sol s'il y a des obstacles.
##help_sidebar_makingbricks_text6,You can <color=#ffc50a>move or change the dimensions</color> of the quarry by dragging the handles on the sides of the volume.\nYou can <color=#ffc50a>rotate the placement of the strairwell</color> in the taskbar popup.\n<color=#ffc50a>Press Tab</color> or the <color=#00ff15>Green Checkmark</color> to activate the new quarry.,Vous pouvez <color=#ffc50a>bouger ou changer les dimensions</color> d'une carrière en glissant les poignées sur les côtés du contour jaune.\nVous pouvez aussi <color=#ffc50a>changer l'emplacement des escaliers</color> dans la barre de tâche de la carrière.\n<color=#ffc50a>Appuyez sur Tab</color> ou le <color=#00ff15>Crochet Vert</color> pour activer la carrière.
##help_sidebar_makingbricks_button,Create a Quarry to continue,Créez une carrière pour continuer
##help_sidebar_yourfirstwall_title,Building your Castle,Construire votre Château
##help_sidebar_yourfirstwall_text1,Making your first wall,Constuire votre premier mur
##help_sidebar_yourfirstwall_text2,Let's place down some blueprint to create a wall!,Allons placer quelques blocs pour créer un mur!
##help_sidebar_yourfirstwall_text3,Creating a wall,Créer un mur
##help_sidebar_yourfirstwall_text4,Click on the <color=#ffc50a>Brick menu</color> at the center left of the screen. Choose <color=#ffc50a>Standard brick.</color>Hover on the ground with your mouse will reveal a blue outline of a brick. This is a <color=#ffc50a>blueprint</color> \n<color=#ffc50a>Left-Click</color> once to place the brick. \n<color=#ffc50a>Right-Click</color> to rotate your blueprint. \n<color=#ffc50a>Drag-Click</color> to place an entire row of bricks. \n<color=#ffc50a>Ctrl-Click</color> on a blueprint to remove it.,"Cliquez sur le <color=#ffc50a>menu de Blocs</color> au centre à la gauche de l'écran. Choississez la <color=#ffc50a>Brique Standard.</color>Passer la souris sur le sol va révélera un contour bleu d'une brique. Ceci est un <color=#ffc50a>Plan.</color> \n<color=#ffc50a>Clic-Gauche</color> une fois pour placer une brique. \n<color=#ffc50a>Clic-Droit</color> pour changer la direction du plan de la brique. \n<color=#ffc50a>Clic et maintenir enfoncé-Glisser</color> pour placer une ligne de briques. \n<color=#ffc50a>Ctrl-Clic</color> sur un bloc pour l'enlever. Si la brique est déjà en place, un Bricktron viendra la détruire."
##help_sidebar_yourfirstwall_text5,<color=#ffc50a>Pro tip:</color> You are in the blueprint mode while placing bricks. <color=#ffc50a>You cannot select Bricktrons or click on anything while in this mode</color>.,<color=#ffc50a>Astuce:</color> Vous êtes dans le mode de construction lorsque vous placez vos briques. <color=#ffc50a>Vous ne pouvez faire la sélection de Bricktrons dans ce mode</color>.
##help_sidebar_yourfirstwall_text6,<color=#ffc50a>Press Tab</color> or the <color=#00ff15>Green Checkmark</color> to confirm the new blueprints and exit blueprint mode.,<color=#ffc50a>Appuyez sur Tab</color> ou sur le <color=#00ff15>Crochet Vert</color> pour confirmer votre construction et sortir du mode de construction.
##help_sidebar_yourfirstwall_button,Place some blueprints to continue,Placez quelques blocs pour continuer
##help_sidebar_yourfirstwall_tooltip_title,Building a Wall,Construire un Mur
##help_sidebar_yourfirstwall_tooltip_text,Build a wall around your home crystal to protect it from Corruptrons!,Construisez un mur autour de votre cristal principal pour le protéger contre les Corruptrons!
##help_sidebar_addingdoors_title,Building your Castle,Construire votre château
##help_sidebar_addingdoors_text1,Adding doors,Ajouter des portes
##help_sidebar_addingdoors_text2,"Walls are much better at defending your Bricktrons if you can't simply walk around them. So <color=#ffc50a>the best walls should have at least 2 bricks high,</color> and should have no holes in them. \n\nOf course, now your Bricktrons won't be able to come in and out of your castle. Let's add a door for them.","<color=#ffc50a>Les meilleurs murs devraient au moins être 2 briques de haut</color> et ne devraient pas avoir de trous. \n\nPar contre, avec un mur sans trous, les Bricktrons ne seront pas capable d'entrer ou de sortir de votre château. Ajoutons-y une porte!"
##help_sidebar_addingdoors_text3,Creating a door,Créer une porte
##help_sidebar_addingdoors_text4,"To create a door, <color=#ffc50a>make sure you have Planks and Iron ingots.</color> \n
Click on the <color=#ffc50a>structure button, choose the Door</color>, and place it where you want the castle's entrance to be.","Pour créer une porte, assurez vous d'avoir des <color=#ffc50a>Planches et des Lingots de Fer.</color>\n\nCliquez sur le <color=#ffc50a>menu de structures, choississez la Porte</color> et placez-la où vous voulez que l'entrer de votre château soit."
##help_sidebar_addingdoors_text5,"<color=#ffc50a>Pro tip:</color> If you must place a door in an existing blueprint wall, <color=#ffc50a>Ctrl+Click</color> on the blueprints to create a hole and then place the door.","<color=#ffc50a>Astuce:</color> Si vous avez à placer une porte dans un mur déjà existant, vous pouvez faire <color=#ffc50a>Ctrl-Clic</color> sur les blocs afin de créer un trou."
##help_sidebar_addingdoors_text6,"If needed, go back to the bricks tab and complete the wall around the door with bricks & half-bricks.\n\n<color=#ffc50a>Press Tab</color> or the <color=#00ff15>Green Checkmark</color> to confirm the new blueprints.",<color=#ffc50a>Appuyez sur Tab</color> ou le <color=#00ff15>Crochet Vert</color> pour confirmer votre construction.
##help_sidebar_addingdoors_button,Continue,Continuer
##help_sidebar_addinglanterns_title,Building your Castle,Construire votre château
##help_sidebar_addinglanterns_text1,Adding lanterns,Ajouter des lanternes
##help_sidebar_addinglanterns_text2,"It should be getting dark soon, if not already! You will want to illuminate your castle so you can keep working.","La nuit approche, si elle n'est pas déjà arrivée! Vous allez sûrement vouloir illuminer votre château pour pouvoir continuer de travailler."
##help_sidebar_addinglanterns_text3,Creating lanterns,Créer des lanternes
##help_sidebar_addinglanterns_text4,"<color=#ffc50a>Lanterns are crafted in the workbench.\n\nThey require 1 brimstones and 1 iron ingot.</color>\n\nOnce crafted they will be stored in a stockpile, so make sure you have an empty stockpile in your base!\n\nOpen the structure tab, select the lantern, and place a lantern blueprint anywhere.","<color=#ffc50a>Les lanternes sont fabriquées dans l'établi.\n\nUne lanterne nécessite 1 soufre et 1 lingot de fer.</color>\n\nUne fois fabriquée, elle va devoir être entreposée dans une palette, assurez-vous d'avoir une palette vide dans votre base!\n\nUne fois construite, ouvrez le menu de structure, sélectionnez la lanterne et placez-là n'importe où."
##help_sidebar_addinglanterns_text5,<color=#ffc50a>Pro tip:</color> Lanterns can be placed directly on walls or on the ground. The choice is yours!,<color=#ffc50a>Astuce:</color> Les lanternes peuvent être placées directement sur le sol ou sur un mur.
##help_sidebar_addinglanterns_text6,<color=#ffc50a>Press Tab</color> or the <color=#00ff15>Green Checkmark</color> to confirm the new blueprints.,<color=#ffc50a>Appuyez sur Tab</color> ou sur le <color=#00ff15>Crochet Vert</color> pour confirmer votre construction.
##help_sidebar_addinglanterns_button,Continue,Continuer
##help_sidebar_endofachapter_title,End,Fin
##help_sidebar_endofachapter_text1,Adventure Awaits,À L'Aventure!
##help_sidebar_endofachapter_text2,"This is the end of this tutorial! \n\nThere are undoubtedly many more things you'd like to learn; the world of Castle Story is wide, complex and full of mysteries, secrets and intricate details. We do have some external references for you to learn more about the game.\n\nCheck out (and maybe contribute to?) the official Wiki: \n <color=#ffc50a>http://wiki.castlestory.net</color> \n\nOur Youtube channel's ""How To"" playlist also has helpful videos: \n <color=#ffc50a>http://youtube.com/SauropodStudio</color> \n\nYou can also ask fellow players in live chat on our official Discord: \n <color=#ffc50a>http://castlestory.net/Discord</color> \n\nHave fun exploring the great world of Castle Story!","Ceci est la fin du tutoriel. \n\nVous avez encore beaucoup à apprendre, jeune guerrier. Le monde de Castle Story est vaste, complexe et regorge de mystères! Consultez l'encyclopédie du savoir universel de Castle Story à l'adresse suivante: \n <color=#ffc50a>http://wiki.castlestory.net</color> \n\nNotre chaine Youtube sur la liste ""How to"": \n <color=#ffc50a>http://youtube.com/SauropodStudio</color> \n\nVous pouvez aussi parler à d'autres joueurs sur notre serveur Discord officiel: \n <color=#ffc50a>http://castlestory.net/Discord</color> \n\nAmusez-vous à explorer le monde de Castle Story!"
,,
,,
##gamemenu_actionwheel_jumpoff,Jump Off,Descendre
##gamemenu_actionwheel_jumpoff_text,Make the Bricktron jump off a ledge.,Ordonne au Bricktron de descendre de son perchoir.
##gamemenu_actionwheel_cleanup,Cleanup Now,Nettoyer
##gamemenu_actionwheel_cleanup_text,Collect ressources lying on target location now.,Collecte les ressources qui gisent à l'endroit ciblé immédiatement.
##gamemenu_actionwheel_cleanupsimilar,Cleanup Similar,Nettoyer
##gamemenu_actionwheel_cleanupsimilar_text,Collect only items of hovered type,Collecte seulement les items du type choisi
##gamemenu_actionwheel_digvoxel,Dig Voxel,Creuser le Voxel
##gamemenu_actionwheel_digvoxel_text,Break an individual voxel and collect it's ressources.,Brise un voxel individuel et collecte ses ressources.
##gamemenu_actionwheel_moveattack,Move Attack,Offensive
##gamemenu_actionwheel_moveattack_text,Move to location and engage enemies.,Se déplace à l'endroit désiré en attaquant tout ennemi sur son chemin.
##gamemenu_actionwheel_detonate,Go Detonate,Faire Exploser
##gamemenu_actionwheel_detonate_text,Send your bricktron to detonate this barrel.,Envoie le Bricktron faire exploser ce baril
##gamemenu_actionwheel_holdfire,Hold Fire,Cessez le Feu
##gamemenu_actionwheel_holdfire_text,Refrain from shooting arrows.,Se retient de tirer des flèches.
##gamemenu_actionwheel_holdfireoff,Auto Shoot,Tire Automatique
##gamemenu_actionwheel_holdfireoff_text,Shoot at nearby enemies,Tire sur les ennemis à proximité.
##gamemenu_actionwheel_holdposition,Hold Position,Tenir sa Position
##gamemenu_actionwheel_holdposition_text,Only move on player order,Ne bouge seulement que sur ordre du joueur.
##gamemenu_actionwheel_holdpositionoff,Auto Mode,Mode Automatique
##gamemenu_actionwheel_holdpositionoff_text,Actively seek out work to do,Cherche activement du travail.
##gamemenu_actionwheel_defendon,Defensive Mode,Mode Défensif
##gamemenu_actionwheel_defendon_text,Hold position and block incoming projectiles,Tient sa position et bloque les projectiles.
##gamemenu_actionwheel_defendoff,Aggressive Mode,Mode Aggressif
,,
,,
##gamemenu_actionwheel_artificer_heal,Healing Stance,Mantra de Soin
##gamemenu_actionwheel_artificer_heal_text,Activates aura to heal nearby friendly units,Active un aura qui guérit les unités alliés
##gamemenu_actionwheel_artificer_fire,Attack Stance,Mantra de Combat
##gamemenu_actionwheel_artificer_fire_text,Automaticaly cast magic at nearby enemies.,Attaque les ennemis à proximité avec des projectiles magiques
##gamemenu_actionwheel_defendoff_text,Seek and attack nearby enemies,Cherche à engager le combat avec les ennemis à proximité
##gamemenu_actionwheel_shootat,Shoot At,Tirer Vers
##gamemenu_actionwheel_shootat_text,Shoot an arrow towards target location.,Tire une flèche à l'endroit ciblé.
##gamemenu_actionwheel_pickup,Pick Up,Ramasser
##gamemenu_actionwheel_pickup_text,Move to item and attempt to pick it up.,Se déplace vers l'item ciblé et tente de le ramasser.
##gamemenu_actionwheel_dropload,Drop Load,Déposer Cargo
##gamemenu_actionwheel_dropload_text,Move and drop carried item at target location.,Se déplace et dépose sa cargaison à l'endroit ciblé.
##gamemenu_actionwheel_turntowards,Turn Towards,Se Tourner Vers
##gamemenu_actionwheel_turntowards_text,Turn towards target location.,Se tourne vers l'endroit ciblé.
##gamemenu_actionwheel_moveto,Move To,Se Déplacer Vers
##gamemenu_actionwheel_moveto_text,Walk or run to target location.,Marche ou cours vers l'endroit ciblé.
##gamemenu_actionwheel_jointask,Join Task,Joindre Tâche
##gamemenu_actionwheel_jointask_text,Assign selected Bricktrons to this task.,Assigne les Bricktrons sélectionnés à cette tâche.
##gamemenu_actionwheel_takefrom,Take From,Prendre De
##gamemenu_actionwheel_takefrom_text,Move to target and grab 1 item from it.,Se déplace vers la cible et en ramasse 1 unité.
##gamemenu_actionwheel_droploadinto,Drop Load Into,Déposer Cargo
##gamemenu_actionwheel_droploadinto_text,Move and drop carried item at target location.,Se déplace et dépose sa cargaison à l'endroit ciblé.
##gamemenu_actionwheel_equipfromrack,Equip Content,S'équiper
##gamemenu_actionwheel_equipfromrack_text,Equip weapons and gear.,S'équipe de ce que contient le râtelier.
##gamemenu_actionwheel_unequipintorack,Unequip Into,Déséquiper
##gamemenu_actionwheel_unequipintorack_text,Unequips currently worn equipment.,Déséquipe le Bricktron dans un râtelier.
##gamemenu_actionwheel_equiptools,Equip Tools,S'Équiper d'Outils
##gamemenu_actionwheel_equiptools_text,Equip tool to gain abilities,S'équipe d'outils pour obtenir de nouvelles habiletés.
##gamemenu_actionwheel_unequiptools,Unequip Tools,Déséquiper Outils
##gamemenu_actionwheel_unequiptools_text,Drop all tools to become a builder,Laisse tomber son équipement pour devenir un travailleur.
##gamemenu_actionwheel_breakobject,Break Object,Briser l'Objet
##gamemenu_actionwheel_breakobject_text,"Destroy this object, RAWRRR!","Détruit cet objet, RAWRRR!"
##gamemenu_actionwheel_cuttree,Cut Tree,Couper l'Arbre
##gamemenu_actionwheel_cuttree_text,Cut this tree into 3 usable wooden logs.,Coupe cet arbre en 3 bûches.
##gamemenu_actionwheel_harvestrocks,Harvest Rocks,Récolter Roche
##gamemenu_actionwheel_harvestrocks_text,Harvest these rocks to obtain stone fragments,Piochez sur ces roches pour en récolter des fragments.
##gamemenu_actionwheel_harvestcrystals,Harvest Crystals,Récolter Cristaux
##gamemenu_actionwheel_harvestcrystals_text,Harvest these minerals to obtain crystal fragments.,Piochez sur ces minerais pour en récolter des fragments.
##gamemenu_actionwheel_harvestplants,Harvest Plants,Récolter Plantes
##gamemenu_actionwheel_harvestplants_text,Harvest these plants to obtain fibre.,Coupez ces plantes pour les récolter.
##gamemenu_actionwheel_armbeartrap,Arm Bear Trap,Armer Piège
##gamemenu_actionwheel_armbeartrap_text,Activates the spring locks on the trap.,Crinque le loquet à ressort du piège.
,,
##gamemenu_stockpilewheel_autoconvertstone,Auto Convert Stone,Auto Conversion
##gamemenu_stockpilewheel_autoconvertstone_text,Rock will be automatically converted to stone blocks.,La roche sera automatiquement convertie en blocs de pierre.
##gamemenu_stockpilewheel_manualconvert,Manual Convert,Conversion Manuelle
##gamemenu_stockpilewheel_acceptnone,Keep Empty,Garder Vide
##gamemenu_stockpilewheel_acceptnone_text,Bricktrons will ignore this stockpile,Vos Bricktrons ignoreront cette palette
##gamemenu_stockpilewheel_acceptall,Accept any,Tout Accepter
##gamemenu_stockpilewheel_acceptall_text,Any resource can go in this stockpile,Cette palette accepte toutes les ressources
,,
##gamemenu_stockpilewheel_exclusivity_hub,Accept only,Accepter Seulement
##gamemenu_stockpilewheel_exclusivity_hub_text,See all raw resources,Voir toutes les ressources brutes
,,
##gamemenu_stockpilewheel_stone,Stone,Pierre
##gamemenu_stockpilewheel_stone_text,Only accept stone,Accepte seulement la pierre
##gamemenu_stockpilewheel_brick,Brick,Brique
##gamemenu_stockpilewheel_brick_text,Only accept bricks,Accepte seulement les briques
##gamemenu_stockpilewheel_wood,Wood,Bois
##gamemenu_stockpilewheel_wood_text,Only accept wood,Accepte seulement les billots de bois
##gamemenu_stockpilewheel_plank,Plank,Planche
##gamemenu_stockpilewheel_plank_text,Only accept planks,Accepte seulement les planches
##gamemenu_stockpilewheel_plant,Plant,Plante
##gamemenu_stockpilewheel_plant_text,Only accept plants,Accepte seulement les plantes
##gamemenu_stockpilewheel_iron,Iron,Fer
##gamemenu_stockpilewheel_iron_text,Only accept iron,Accepte seulement le fer
##gamemenu_stockpilewheel_brimstone,Brimstone,Soufre
##gamemenu_stockpilewheel_brimstone_text,Only accept brimstone,Accepte seulement le soufre
##gamemenu_stockpilewheel_bluecrystal,Blue Crystal,Crystal Bleu
##gamemenu_stockpilewheel_bluecrystal_text,Only accept blue crystal,Accepte seulement le cristal bleu
##gamemenu_stockpilewheel_iron_ingot,Iron ingot,Lingot de Fer
##gamemenu_stockpilewheel_iron_ingot_text,Only accept iron ingots,Accepte seulement les lingots de fer
##gamemenu_stockpilewheel_rope,Rope,Corde
##gamemenu_stockpilewheel_rope_text,Only accept rope,Accepte seulement les ballots de corde
##gamemenu_stockpilewheel_fabric,Fabric,Textile
##gamemenu_stockpilewheel_fabric_text,Only accept fabric,Accepte seulement les rouleaux de textile
##gamemenu_stockpilewheel_glass,Glass,Verre
##gamemenu_stockpilewheel_glass_text,Only accept glass,Accepte seulement les blocs de verre
##gamemenu_stockpilewheel_cog,Cog,Engrenage
##gamemenu_stockpilewheel_cog_text,Only accept cogs,Accepte seulement les engranages
##gamemenu_stockpilewheel_bomb,Bomb,Bombe
##gamemenu_stockpilewheel_bomb_text,Only accept bombs,Accepte seulement les bombes
##gamemenu_stockpilewheel_explosivebarrel,Explosive Barrel,Baril Explosif
##gamemenu_stockpilewheel_explosivebarrel_text,Only accept explosive barrel,Accepte seulement les barils explosifs
,,
##gamemenu_stockpilewheel_sentinel_ward,Sentinel Ward,Balise Sentinelle
##gamemenu_stockpilewheel_sentinel_ward_text,Only accept sentinel wards,Accepte seulement les balises sentinelles
##gamemenu_stockpilewheel_healing_ward,Healing Ward,Balise de Guérison
##gamemenu_stockpilewheel_healing_ward_text,Only accept healing wards,Accepte seulement les balises de guérison
##gamemenu_stockpilewheel_lantern_ward,Lantern Ward,Balise Lanterne
##gamemenu_stockpilewheel_lantern_ward_text,Only accept lantern wards,Accepte seulement les balises lanternes
##gamemenu_stockpilewheel_capture_ward,Capture Ward,Balise de Capture
##gamemenu_stockpilewheel_capture_ward_text,Only accept capture wards,Accepte seulement les balises de capture
##gamemenu_stockpilewheel_pylon_ward,Pylon Ward,Balise de Relais
##gamemenu_stockpilewheel_pylon_ward_text,Only accept pylon,Accepte seulement les balises de relais
##gamemenu_stockpilewheel_trap,Bear Trap,Pière à Ours
##gamemenu_stockpilewheel_trap_text,Only accept traps,Accepte seulement les pièges à ours
,,
,,
##gamemenu_crystalwheel_spawnworker,Spawn Worker,Invoquer Ouvrier
##gamemenu_crystalwheel_spawnworker_text,Use energy to create a Bricktron worker.,Utilise de l'énergie pour invoquer un travailleur Bricktron.
##gamemenu_crystalwheel_recallworkers,Recall Workers,Rappel
##gamemenu_crystalwheel_recallworkers_text,Make workers hurry back to the home crystal.,Donne l'ordre aux travailleurs de retourner rapidement à leur cristal principal.
##gamemenu_crystalwheel_calltoarms,Call to Arms!,Aux Armes!
##gamemenu_crystalwheel_calltoarms_text,Make workers arm themselves in a desperate gambit to fend off attackers,Ordonne aux ouvriers de s'armer pour défendre leur territoire
##gamemenu_crystalwheel_backtowork,Back to Work,Retour au Travail
##gamemenu_crystalwheel_backtowork_text,Order Bricktrons to drop their equipment at the nearest weapon racks,Ordonne à vos Bricktrons de déposer leur équipement dans un râtelier
,,
##gamemenu_doorwheel_lock,Lock,Barrer
##gamemenu_doorwheel_lock_text,Lock this door to protect your Bricktrons.,Barre cette porte pour protéger vos Bricktrons.
##gamemenu_doorwheel_unlock,Unlock,Débarrer
##gamemenu_doorwheel_unlock_text,Unlock this door to your Bricktrons through.,Débarre cette porte pour laisser passer vos Bricktrons.
,,
##gamemenu_catapultwheel_cleartarget,Clear Target,Désengager
##gamemenu_catapultwheel_cleartarget_text,Unschedule catapult's firing orders.,Annule les ordres d'exécution de la catapulte.
##gamemenu_catapultwheel_settarget,Set Target,Cibler
##gamemenu_catapultwheel_settarget_text,Click on the terrain to aim this catapult.,Cliquez sur un emplacement pour en faire la cible de la catapulte.
##gamemenu_catapultwheel_fire,Fire,Tirer
##gamemenu_catapultwheel_fire_text,Launch the catapult's projectile into the air.,Lance le projectile de la catapulte en l'air.
##gamemenu_catapultwheel_holdfire,Hold Fire,Cessez le Feu
##gamemenu_catapultwheel_holdfire_text,Do not fire until further notice,Se retient de tirer.
##gamemenu_catapultwheel_fireonce,Fire Once,Tirer une Seule Fois
##gamemenu_catapultwheel_fireonce_text,Fires a projectile once,Tire un seul projectile.
##gamemenu_catapultwheel_fireatwill,Fire at Will,Feu à Volonté
##gamemenu_catapultwheel_fireatwill_text,Reload and fire every reachable barrels,Recharge et tire chaque baril à proximité.
##gamemenu_catapultwheel_assignto,Assign To,Assigner À
##gamemenu_catapultwheel_assignto_text,Assign a Bricktron to operate this catapult.,Assigne un Bicktron pour opérer cette catapulte.
##gamemenu_catapultwheel_load,Load with Ammo,Charger
##gamemenu_catapultwheel_load_text,Place ammo to be fired by the catapult.,Charge la catapulte avec des munitions.
##gamemenu_catapultwheel_unload,Unload Ammo,Décharger
##gamemenu_catapultwheel_unload_text,Remove ammo from the catapult.,Décharge les munitions de la catapulte.
##gamemenu_catapultwheel_work,Crank and Aim,Crinquer et Viser
##gamemenu_catapultwheel_work_text,Get the catapult ready to fire.,Prépare la catapulte à tirer.
,,
##gamemenu_generictaskwheel_selectworkers,Select Workers,Sélectionner les Travailleurs
##gamemenu_generictaskwheel_selectworkers_text,Select all Bricktrons doing this task.,Sélectionne tous les Bricktrons sur cette tâche.
##gamemenu_generictaskwheel_removeworkers,Remove Workers,Retirer les Travailleurs
##gamemenu_generictaskwheel_removeworkers_text,Unassign all Bricktrons from this task.,Retire tous les Bricktrons de cette tâche.
##gamemenu_generictaskwheel_deletetask,Delete Task,Supprimer la Tâche
##gamemenu_generictaskwheel_deletetask_text,Deletes the currently selected task.,Supprime la tâche sélectionnée.
,,
##gamemenu_toolrackwheel_exclusivityhub,Accept only,Accepte seulement
##gamemenu_toolrackwheel_exclusive_none,Keep empty,Garder vide
##gamemenu_toolrackwheel_exclusive_none_text,Bricktrons will ignore this weapon rack,Ignorer ce râtelier
##gamemenu_toolrackwheel_exclusive_all,Accept any,Tout accepter
##gamemenu_toolrackwheel_exclusive_all_text,Remove weapon rack restriction,Enlever toute restriction sur ce râtelier
##gamemenu_toolrackwheel_exclusive_knight,Knight,Chevalier
##gamemenu_toolrackwheel_exclusive_knight_text,Only store knight kits,N'entrepose que des kits de chevalier
##gamemenu_toolrackwheel_exclusive_archer,Archer,Archer
##gamemenu_toolrackwheel_exclusive_archer_text,Only store archer kits,N'entrepose que des kits d'archer
##gamemenu_toolrackwheel_exclusive_arbalest,Arbalist,Arbalétrier
##gamemenu_toolrackwheel_exclusive_arbalest_text,Only store arbalest kits,N'entrepose que des kits d'arbalétrier
##gamemenu_toolrackwheel_exclusive_geomancer,Artificer,Artificier
