Keys,French (Canada)
##gamemenu_help_popup_spawnbricktron_text,"Pour invoquer des Bricktrons supplémentaires, vous devez accumuler des <color=#ffc50a>Feux-Follets</color>. Vous pouvez voir votre quantité totale de feux-follets sur le panneau en bas à gauche de l'écran. \n
Lorsque cette barre est pleine, vous verrez un <color=#ffc50a>Feu-Follet Jaune</color> apparaitre autour de votre cristal principal. \n
- Pour invoquer un Bricktron, <color=#ffc50a>Cliquez</color> sur <color=#ffc50a>l'icône du Bricktron</color> à côté de la barre de progression. \n"
##gamemenu_help_popup_outro,Pour en savoir plus
##gamemenu_help_popup_outro_text,"Si vous avez besoin de plus d'aide, jetez un coup d'oeil sur le menu d'aide en cliquant sur le point d'interrogation en haut à droite de votre écran. \n
Vous pouvez aussi visiter le Wiki officiel de Castle Story sur <color=#ffc50a>http://wiki.castlestory.net</color> \n
Vous pouvez trouver d'autres joueurs avec qui parler ou jouer sur le Discord officiel de Castle Story au <color=#ffc50a>http://castlestory.net/Discord</color>"
##gamemenu_help_popup_nextsection,La Suite
##gamemenu_help_popup_nextsection_text,"La prochaine section vous expliquera comment obtenir d'autres unités militaires et discutera de mécaniques plus avancées. \n
<color=#ffc50a>Vous pouvez terminer ce tutoriel à n'importe quel moment dans le menu d'options (F10)</color>."
##gamemenu_help_popup_startinvasion,Testez votre Force
##gamemenu_help_popup_startinvasion_text,"Vous êtes maintenant libres de continuer à explorer le jeu. \n
Vous voulez mettre vos Bricktrons à l'épreuve? Appuyez sur le <color=#ffc50a>bouton Vague de Corruptrons</color> sur le <color=#ffc50a>côté gauche de votre écran</color>. \n
Une vague de Corruptron tentera d'attaquer votre Cristal. \n
À combien de vagues pourrez vous résister?"
,
##gamemenu_help_popup_buildmorestockpiles,<color=#ff0064><size=12>Construisez plus de palettes!</size></color> Requis pour continuer à récolter des ressources.
##gamemenu_help_popup_toomanytasks,<color=#ff0064><size=12>Vos Bricktrons ont trop de tâches!</size></color> Supprimez-en pour en créer des nouvelles.
##gamemenu_help_popup_next,Continuer
##gamemenu_help_popup_todisable,"<i>Pour désactiver ces astuces, allez dans les options générales en appuyant sur F10</i>"
,
Insert new tutorial sidebar strings below,
##help_sidebar_welcometocastlestory_title,Guide du débutant
##help_sidebar_welcometocastlestory_text1,Bienvenue sur Castle Story!
##help_sidebar_welcometocastlestory_text2,"Avec ce tutoriel, nous allons vous enseigner les bases pour jouer au jeu.\n\nCastle Story est un jeu complexe, nous vous recommandons de suivre ce tutoriel dans son intégralité avant d'aller plus en profondeur dans les autres modes de jeu. \n<color=#ffc50a><b>Commençons!</b></color> \n"
##help_sidebar_welcometocastlestory_text3,"<color=#ffc50a>Astuce:</color> Si vous ne voulez pas voir ce tutoriel, ouvrez le menu principal et désactivez le tutoriel dans <color=#ffc50a>options / général > désactiver tutoriel. </color>"
##help_sidebar_welcometocastlestory_button,Continuer
##help_sidebar_welcometocastlestory_tooltip_title,<size=10>Cristal Principal</size>
##help_sidebar_welcometocastlestory_tooltip_text,Ceci est votre Cristal Principal. Défendez-le à tout prix!
##help_sidebar_meetthebricktrons_title,Les Bases
##help_sidebar_meetthebricktrons_text1,Rencontrez les Bricktrons!
##help_sidebar_meetthebricktrons_text2,Les Bricktrons
##help_sidebar_meetthebricktrons_text3,Les <color=#ffc50a>Bricktrons</color> sont de petites créatures jaunes amicales qui vont suivre vos ordres. Vous pouvez leur donner des ordres directement ou placer des tâches que les Bricktrons vont choisir de faire par eux-mêmes. 
##help_sidebar_meetthebricktrons_text4,Votre Cristal Principal
##help_sidebar_meetthebricktrons_text5,Le <color=#ffc50a>Cristal Principal</color> est le coeur de votre civilisation. Vous devez le défendre à tout prix contre les créatures en maraudage ou des villages bricktron ennemis. \n\nLe Cristal Principal est aussi <color=#ffc50a> votre source d'énergie</color> et aussi <color=#ffc50a>le seul endroit où vous pouvez obtenir plus de Bricktrons.</color>
##help_sidebar_meetthebricktrons_button,Continuer
##help_sidebar_controllingthecamera_title,Les Bases
##help_sidebar_controllingthecamera_text1,Contrôler la caméra
##help_sidebar_controllingthecamera_text2,Bouger la caméra
##help_sidebar_controllingthecamera_text3,Utilisez les touches <color=#ffc50a>#hotkeys</color> pour bouger la caméra à l'horizontale.
##help_sidebar_controllingthecamera_text4,<color=#ffc50a>Astuce:</color> Vous pouvez activer le contrôle de l'écran avec la souris dans le menu option/jouabilité.
##help_sidebar_controllingthecamera_text5,Rotation de la caméra
##help_sidebar_controllingthecamera_text6,Utilisez les touches <color=#ffc50a>#hotkeys</color> ou le <color=#ffc50a>bouton du milieu de la souris</color> pour bouger la caméra autour du pivot.
##help_sidebar_controllingthecamera_text7,Zoom avant et arrière
##help_sidebar_controllingthecamera_text8,Utilisez les touches <color=#ffc50a>#hotkeys</color> ou la <color=#ffc50a> roulette de la souris</color> pour faire un zoom avant ou arrière avec la caméra.
##help_sidebar_controllingthecamera_text9,Changer l'élévation
##help_sidebar_controllingthecamera_text10,Utilisez <color=#ffc50a>Shift avec la molette de la souris</color> ou <color=#ffc50a>#hotkeys</color> pour changer l'élévation du pivot de la caméra.
##help_sidebar_controllingthecamera_text11,<color=#ffc50a>Astuce:</color> Vous pouvez forcer <color=#ffc50a>l'ajustement automatique de la hauteur en appuyant sur #hotkeys</color>.
##help_sidebar_controllingthecamera_button,Continuer
##help_sidebar_issuingorders_title,Les Bases
##help_sidebar_issuingorders_text1,Émettre des ordres
##help_sidebar_issuingorders_text2,Sélectionner les Bricktrons
##help_sidebar_issuingorders_text3,"Utilisez le <color=#ffc50a>bouton de gauche de la Souris</color> pour sélectionner un Bricktron.\n\nVous pouvez aussi <color=#ffc50a>cliquer, maintenir enfoncer et glisser</color> pour sélectionner plusieurs Bricktons à la fois."
##help_sidebar_issuingorders_text4,"<color=#ffc50a>Astuce: En Double Cliquant</color> sur un Bricktron, tous ceux de la même classe vont être sélectionné (ex: travailleurs, archers, chevaliers, etc.)"
##help_sidebar_issuingorders_text5,Donner des Ordres
##help_sidebar_issuingorders_text6,"Avec un Brickton sélectionné, <color=#ffc50a>Clique Droit</color> sur le sol pour donner un <color=#ffc50a>Ordre de Bouger</color>.\n\nSi vous <color=#ffc50a>Control + Clique Droit</color> sur le sol, cela va émettre <color=#ffc50a>l'Ordre de Creuser</color>.\n\n<color=#ffc50a>Control + Clique Droit</color> sur des briques ou sur des structures va émettre <color=#ffc50a>l'Ordre de Détruire</color>."
##help_sidebar_issuingorders_button,Continuer
##help_sidebar_gatheringstuff_title,Ressources
##help_sidebar_gatheringstuff_text1,Récolter des Ressources
##help_sidebar_gatheringstuff_text2,"Dans Castle Story, vous récoltez des ressources en placant des tâches. Laissés à eux-mêmes, les Bricktrons vont choisir une tâche à exécuter basée sur la priorité, vous pouvez aussi les assigner vous-même à une tâche.\n\n<color=#ffc50a>Le bois est la première ressource que vous voulez récolter</color>."
##help_sidebar_gatheringstuff_text3,Récolter du Bois
##help_sidebar_gatheringstuff_text4,"<color=#ffc50a>Appuyez sur le bouton de Tâches</color> au centre à gauche de l'écran et choisissez la <color=#ffc50a>Tâche de Récolte de Bois</color>.\n\n<color=#ffc50a>Cliquez sur des arbres</color>. Vous devriez voir un cercle jaune apparaître, les arbres qui se trouvent dans le cercle sont alors sélectionnés.\n\n<color=#ffc50a>Cliquez sur Tab</color> ou sur le <color=#ffc50a>Crochet Vert</color> pour activer la tâche."
##help_sidebar_gatheringstuff_text5,<color=#ffc50a>Astuce:</color> Vous pouvez <color=#ffc50a>changer le rayon</color> d'une tâche en cliquant+glisser le cercle jaune ou <color=#ffc50a>bouger la tâche</color> en glissant la poignée au centre de la zone affichée.
##help_sidebar_gatheringstuff_button,Créez une tâche de récolte de bois pour continuer
##help_sidebar_transformingrawresources_title,Ressources
##help_sidebar_transformingrawresources_text1,Transformer les ressources brutes
##help_sidebar_transformingrawresources_text2,"Vous avez maintenant plein de bûches, mais vos Bricktrons ne savent pas quoi en faire. \n\nAllons créer un <color=#ffc50a>Bloc de Coupe</color> pour les transformer en <color=#ffc50a>planches</color>!"
##help_sidebar_transformingrawresources_text3,Créer un Bloc de Coupe
##help_sidebar_transformingrawresources_text4,"<color=#ffc50a>Appuyez sur le bouton de Structure</color> au centre à gauche de l'écran et sélectionnez le <color=#ffc50a>Bloc de Coupe</color>.\n\n<color=#ffc50a>Cliquez sur le sol</color> pour placer votre structure. Vous devriez voir le Plan d'un Bloc de Coupe apparaître sur le sol.\n\n<color=#ffc50a>Appuyez sur Tab</color> ou le <color=#ffc50a>Crochet Vert</color> pour confirmer.\n\nL'un de vos Bricktrons devrait immédiatement prendre une bûche et la placer sur le plan, ce qui crée le Bloc de Coupe."
##help_sidebar_transformingrawresources_button,Créez un bloc de coupe pour continuer
##help_sidebar_stockpilingyourresources_title,Ressources
##help_sidebar_stockpilingyourresources_text1,Entreposer Vos Ressources
##help_sidebar_stockpilingyourresources_text2,La plupart des ressources ont besoin d'être entreposées afin que les Bricktrons puissent les utiliser.\n\nVous allez avoir besoin de<color=#ffc50a>beaucoup de palettes</color> pour parvenir à gérer votre village efficacement.
##help_sidebar_stockpilingyourresources_text3,Création de palettes
##help_sidebar_stockpilingyourresources_text4,<color=#ffc50a>Appuyez sur le bouton de Structure</color> et choississez  la <color=#ffc50a>Palette</color>.\n\n<color=#ffc50a>Placez quelques palettes</color> sur le sol.\n\n<color=#ffc50a>Appuyez sur Tab pour confirmer</color>.
##help_sidebar_stockpilingyourresources_text5,<size=12><color=#ffc50a>Astuce:</color> Plusieurs blocs / structures peuvent être placer sur le sol simultanément en faisant <color=#ffc50a>clique+glisser</color>. Ceci est plus rapide que de les placer individuellement!</size>
##help_sidebar_stockpilingyourresources_text6,Vous pouvez voir qu'une palette <color=#ffc50a>requiert 1 planche pour se faire constuire</color> et qu'elle peut <color=#ffc50a>contenir jusqu'à 12 planches</color>.
##help_sidebar_stockpilingyourresources_button,Créez 6 Palettes pour continuer
##help_sidebar_gatheringcraftingmaterials_title,Confection
##help_sidebar_gatheringcraftingmaterials_text1,Récolter des matériaux de fabrication
##help_sidebar_gatheringcraftingmaterials_text2,"Présentement, votre village est complètement sans défense. C'est un problème que nous devrions régler, vous ne croyez pas?\n\n<color=#ffc50a>Allons créer quelques armes!</color>\n\nPour ce faire, <color=#ffc50a>nous allons avoir besoin de métal.</color>"
##help_sidebar_gatheringcraftingmaterials_text3,Récolte de Fer et de Soufre
##help_sidebar_gatheringcraftingmaterials_text4,"Pour récolter du Fer brut, allez dans<color=#ffc50a> le menu de tâches</color>, trouvez la <color=#ffc50a>tâche de récolte de fer</color> et <color=#ffc50a>placez cette tâche sur une veine de fer près de vous</color>.\n\n<color=#ffc50a>Appuyez sur Tab</color> pour confirmer l'emplacement de la tâche.\n\nNous allons avoir besoin de faire fondre ce métal pour créer des lingots de fer. Le soufre est la ressource dont nous avons besoin.\n\nDans le <color=#ffc50a>menu de tâches</color>, cliquez sur la <color=#ffc50a>tâche de récolte de soufre</color> et <color=#ffc50a>placez-la sur une veine de soufre</color>."
##help_sidebar_gatheringcraftingmaterials_button,Récoltez du Fer et du Soufre pour continuer
##help_sidebar_thefurnace_title,Confection
##help_sidebar_thefurnace_text1,La Fournaise
##help_sidebar_thefurnace_text2,"Pour fondre du fer, vous avez besoin d'une <color=#ffc50a>Fournaise</color>. Les Fournaises nécessitent des blocs de pierre."
##help_sidebar_thefurnace_text3,Récolter de la pierre
##help_sidebar_thefurnace_text4,"Dans le <color=#ffc50a>menu de tâches</color>, cliquez sur  la <color=#ffc50a>Tâche de récolte de Pierre</color>, placez la tâche <color=#ffc50a>sur un tas de gros rochers</color>.\n\nVos Bricktrons devraient maintenant récolter toutes les ressources nécessaires pour construire une fournaise et produire des lingots de fer."
##help_sidebar_thefurnace_text5,Construire une fournaise
##help_sidebar_thefurnace_text6,"Dans le <color=#ffc50a>menu des Structures</color>, cliquez sur la <color=#ffc50a>Fournaise</color> et placez-la n'importe où sur le sol.\n\n<color=#ffc50a>Appuyez sur Tab</color> ou cliquez sur le <color=#ffc50a>Crochet Vert</color> pour confirmer."
##help_sidebar_thefurnace_text7,<color=#ffc50a>Astuce: La fournaise nécéssite 4 blocs</color> pour pouvoir être construite. Assurez-vous d'en avoir assez!
##help_sidebar_thefurnace_button,Construisez une fournaise pour continuer
##help_sidebar_smeltingiron_title,Création
##help_sidebar_smeltingiron_text1,La Fournaise
##help_sidebar_smeltingiron_text2,Utiliser la fournaise
##help_sidebar_smeltingiron_text3,"Une fois que votre fournaise est constuite, <color=#ffc50a>cliquez dessus</color>.\n\nAu bas de votre écran devrait apparraître le menu popup de la fournaise."
##help_sidebar_smeltingiron_text4,Cliquez sur le lingot de fer pour pour l'ajouter à la file. Cliquez dessus 5 fois pour <color=#ffc50a>avoir 6 lingots de fer à la file</color>.
##help_sidebar_smeltingiron_text5,"<color=#ffc50a>Astuce:</color> Vous pouvez <color=#ffc50a>cliquez sur le bouton de cycle</color> pour <color=#ffc50a>répéter la file de production actuelle continuellement</color>, ou jusqu'à ce que vous n'aillez plus de ressources ou que vos palettes soient pleines!"
##help_sidebar_smeltingiron_button,Produisez 3 lingots de fer pour continuer
##help_sidebar_smeltingiron_tooltip_title,Faire fondre des lingots de fer
##help_sidebar_smeltingiron_tooltip_text,Utilisez la fournaise pour ajouter des lingots de fer à la file de production.
##help_sidebar_workbenches_title,Création
##help_sidebar_workbenches_text1,Établis
##help_sidebar_workbenches_text2,"<color=#ffc50a>L'établi</color> est la station de travail de base, avec l'établi vous pouvez fabriquer des kits d'Hallebardier, des kits d'Archers et des lanternes.\n\nAllons fabriquer un kit d'Hallebardier!"
##help_sidebar_workbenches_text3,Création d'un établi
##help_sidebar_workbenches_text4,"Dans le <color=#ffc50a>menu de structures</color>, cliquez sur l'<color=#ffc50a>établi</color> et placez le <color=#ffc50a>n'importe où sur le sol</color>."
##help_sidebar_workbenches_text5,"<color=#ffc50a>Astuce:</color> En faisant <color=#ffc50a>Clic-Droit</color> avant de placer votre structure au sol, vous pouvez changer son axe."
##help_sidebar_workbenches_text6,"Avant de poursuivre et fabriquer notre kit d'Hallebardier, nous avons besoin d'un râtelier pour pouvoir l'entreposer."
##help_sidebar_workbenches_button,Créez un établi pour continuer
##help_sidebar_weaponrack_title,Création
##help_sidebar_weaponrack_text1,Râtelier
##help_sidebar_weaponrack_text2,"Avant de fabriquer notre <color=#ffc50a>kit d'Hallebardier</color>, nous avons besoin d'un <color=#ffc50a>râtelier</color> pour l'entreposer."
##help_sidebar_weaponrack_text3,Création d'un râtelier
##help_sidebar_weaponrack_text4,"Dans le <color=#ffc50a>menu de structures</color>, cliquez sur le <color=#ffc50a>râtelier</color> et placez le <color=#ffc50a>n'importe où sur le sol</color>.\n\nChaque râtelier peut contenir jusqu'à <color=#ffc50a>4 kits de la même classe.</color>"
##help_sidebar_weaponrack_text5,"<color=#ffc50a>Astuce:</color> Pour permettre aux Bricktrons de se procurez les kits militaires plus rapidement, <color=#ffc50a>assurez-vous de laisser assez d'espace de chaque côté de votre râtelier</color>!"
##help_sidebar_weaponrack_button,Créez un râtelier pour continuer
##help_sidebar_firstsoldier_title,Création
##help_sidebar_firstsoldier_text1,Créer votre premier soldat
##help_sidebar_firstsoldier_text2,Créer un kit d'Hallebardier
##help_sidebar_firstsoldier_text3,"Retrouvez votre <color=#ffc50a>établi</color> et <color=#ffc50a>cliquez dessus.</color>\nDans la barre de tâche de l'établi, cliquez sur le <color=#ffc50a>Kit d'Hallebardier</color>.\nUn Bricktron va bientôt commencer la fabrication du kit. Le travailleur va fabriquer deux morceaux: <color=#ffc50a>Une Lance</color> et <color=#ffc50a>Un Casque.</color> Les pièces vont être entreposées dans une râtelier."
##help_sidebar_firstsoldier_text4,<color=#ffc50a>Astuce: Vous avez besoin d'espace dans votre râtelier pour que le kit puisse se fabriquer.</color>
##help_sidebar_firstsoldier_text5,Équippez le kit
##help_sidebar_firstsoldier_text6,"Une fois que les deux morceaux sont entreposés dans le râtelier, <color=#ffc50a>sélectionnez un Bricktron</color> et faites <color=#ffc50a>clic-droit sur le râtelier.</color> Félicitation, vous avez votre premier soldat!"
##help_sidebar_firstsoldier_text7,<color=#ffc50a>Astuce:</color> Les soldats ne peuvent pas se faire assigner à des tâches et ne peuvent pas transporter du matériel. 
##help_sidebar_firstsoldier_button,Créez un Hallebardier pour continuer
##help_sidebar_firstsoldier_tooltip_title,Mettez à la file un kit d'Hallebardier
##help_sidebar_firstsoldier_tooltip_text,Utilisez l'établi pour ajouter un kit d'hallebardier à la file de production.
##help_sidebar_craftinganarcher_title,Création
##help_sidebar_craftinganarcher_text1,Créer un archer
##help_sidebar_craftinganarcher_text2,Allons fabriquer un kit d'archer!
##help_sidebar_craftinganarcher_text3,Récolter des plantes
##help_sidebar_craftinganarcher_text4,La corde et le textile sont fabriqués avec de la fibre végétale. Placez une tâche de récolte de plantes sur de la végétation près de votre base. 
##help_sidebar_craftinganarcher_text5,<color=#ffc50a>Astuce: Assurez vous d'avoir quelques palettes vides pour la fibre végétale!</color> 
##help_sidebar_craftinganarcher_text6,Créer un Métier à Tisser
##help_sidebar_craftinganarcher_text7,"Dans le menu de structures, <color=#ffc50a>sélectionnez le Métier à Tisser</color> et placez le n'importe où. \n\nUne fois construit, cliquez dessus et avec la barre de tâches du métier à tisser, <color=#ffc50a>placez à la file de production, 1 ballot de corde et 1 rouleau de textile</color>."
##help_sidebar_craftinganarcher_text8,Créer un kit d'Archer
##help_sidebar_craftinganarcher_text9,"Avec l'établi, <color=#ffc50a>placez à la file de production 1 kit d'archer.</color>"
##help_sidebar_craftinganarcher_button,Équippez un archer pour continuer
##help_sidebar_craftinganarcher_tooltip_title,Fabriquer un kit d'archer
##help_sidebar_craftinganarcher_tooltip_text,Utilisez l'établi pour ajouter un kit d'archer à la file de production.
##help_sidebar_spawningnewworkers_title,Constuire votre château
##help_sidebar_spawningnewworkers_text1,Invoquer plus de travailleurs
##help_sidebar_spawningnewworkers_text2,"<color=#ffc50a>Votre cristal principal génère de l'énergie passivement.</color> Cette énergie peut être utilisée pour invoquer de nouveaux Bricktrons. \nVous pouvez voir cette énergie sous forme de <color=#3a7bff>Feu-Follet Bleu</color> volant autour de votre cristal. Une fois qu'il y a assez de feu-follet bleu, ils vont former ensemble un <color=#ffc50a>Feu-Follet Jaune.</color>\n\nVous pouvez voir combien d'énergie vous avez de besoin avant d'aquiérir un nouveau Bricktron dans la barre de tâche sous votre cristal principal."
##help_sidebar_spawningnewworkers_text3,Invoquer un Bricktron
##help_sidebar_spawningnewworkers_text4,<color=#ffc50a>Cliquez sur le bouton du Bricktron</color> dans la barre de tâche au bas de l'écran à gauche. Un travailleur devrait apparaître instantanément près de votre Cristal Principal.
##help_sidebar_spawningnewworkers_text5,<color=#ffc50a>Astuce:</color> Vous pouvez capturer des <color=#ffc50a>fragments de cristal sur la map</color> pour récolter de l'énergie plus rapidement.
##help_sidebar_spawningnewworkers_button,Invoquez un nouveau Bricktron pour continuer
##help_sidebar_spawningnewworkers_tooltip_title,Invoquer un Bricktron
##help_sidebar_spawningnewworkers_tooltip_text,Ouvrez le menu contextuel sur votre cristal principal pour invoquer un Bricktron.
##help_sidebar_makingbricks_title,Construire votre château
##help_sidebar_makingbricks_text1,Faire des briques
##help_sidebar_makingbricks_text2,"<color=#ffc50a>Nous allons avoir besoin de pierres pour faire des briques</color>, beaucoup de briques! Allons faire une carrière pour récolter plus de pierres."
##help_sidebar_makingbricks_text3,Créer une Carrière
##help_sidebar_makingbricks_text4,"Dans le menu des tâches, <color=#ffc50a>selectionnez la Carrière.</color>\n\nMaintenant <color=#ffc50a>cliquez sur une partie vide du sol</color> pour placer la carrière. Un contour jaune d'un trou dans le sol va apparaître, ainsi que des escaliers."
##help_sidebar_makingbricks_text5,<color=#ffc50a>Astuce: Ne placez pas votre carrière sous une structure ou trop près de votre cristal.</color> Les Bricktrons risque de ne pas réussir à creuser le sol s'il y a des obstacles.
##help_sidebar_makingbricks_text6,Vous pouvez <color=#ffc50a>bouger ou changer les dimensions</color> d'une carrière en glissant les poignées sur les côtés du contour jaune.\nVous pouvez aussi <color=#ffc50a>changer l'emplacement des escaliers</color> dans la barre de tâche de la carrière.\n<color=#ffc50a>Appuyez sur Tab</color> ou le <color=#00ff15>Crochet Vert</color> pour activer la carrière.
##help_sidebar_makingbricks_button,Créez une carrière pour continuer
##help_sidebar_yourfirstwall_title,Construire votre Château
##help_sidebar_yourfirstwall_text1,Constuire votre premier mur
##help_sidebar_yourfirstwall_text2,Allons placer quelques blocs pour créer un mur!
##help_sidebar_yourfirstwall_text3,Créer un mur
##help_sidebar_yourfirstwall_text4,"Cliquez sur le <color=#ffc50a>menu de Blocs</color> au centre à la gauche de l'écran. Choississez la <color=#ffc50a>Brique Standard.</color>Passer la souris sur le sol va révélera un contour bleu d'une brique. Ceci est un <color=#ffc50a>Plan.</color> \n<color=#ffc50a>Clic-Gauche</color> une fois pour placer une brique. \n<color=#ffc50a>Clic-Droit</color> pour changer la direction du plan de la brique. \n<color=#ffc50a>Clic et maintenir enfoncé-Glisser</color> pour placer une ligne de briques. \n<color=#ffc50a>Ctrl-Clic</color> sur un bloc pour l'enlever. Si la brique est déjà en place, un Bricktron viendra la détruire."
##help_sidebar_yourfirstwall_text5,<color=#ffc50a>Astuce:</color> Vous êtes dans le mode de construction lorsque vous placez vos briques. <color=#ffc50a>Vous ne pouvez faire la sélection de Bricktrons dans ce mode</color>.
##help_sidebar_yourfirstwall_text6,<color=#ffc50a>Appuyez sur Tab</color> ou sur le <color=#00ff15>Crochet Vert</color> pour confirmer votre construction et sortir du mode de construction.
##help_sidebar_yourfirstwall_button,Placez quelques blocs pour continuer
##help_sidebar_yourfirstwall_tooltip_title,Construire un Mur
##help_sidebar_yourfirstwall_tooltip_text,Construisez un mur autour de votre cristal principal pour le protéger contre les Corruptrons!
##help_sidebar_addingdoors_title,Construire votre château
##help_sidebar_addingdoors_text1,Ajouter des portes
##help_sidebar_addingdoors_text2,"<color=#ffc50a>Les meilleurs murs devraient au moins être 2 briques de haut</color> et ne devraient pas avoir de trous. \n\nPar contre, avec un mur sans trous, les Bricktrons ne seront pas capable d'entrer ou de sortir de votre château. Ajoutons-y une porte!"
##help_sidebar_addingdoors_text3,Créer une porte
##help_sidebar_addingdoors_text4,"Pour créer une porte, assurez vous d'avoir des <color=#ffc50a>Planches et des Lingots de Fer.</color>\n\nCliquez sur le <color=#ffc50a>menu de structures, choississez la Porte</color> et placez-la où vous voulez que l'entrer de votre château soit."
##help_sidebar_addingdoors_text5,"<color=#ffc50a>Astuce:</color> Si vous avez à placer une porte dans un mur déjà existant, vous pouvez faire <color=#ffc50a>Ctrl-Clic</color> sur les blocs afin de créer un trou."
##help_sidebar_addingdoors_text6,<color=#ffc50a>Appuyez sur Tab</color> ou le <color=#00ff15>Crochet Vert</color> pour confirmer votre construction.
##help_sidebar_addingdoors_button,Continuer
##help_sidebar_addinglanterns_title,Construire votre château
##help_sidebar_addinglanterns_text1,Ajouter des lanternes
##help_sidebar_addinglanterns_text2,"La nuit approche, si elle n'est pas déjà arrivée! Vous allez sûrement vouloir illuminer votre château pour pouvoir continuer de travailler."
##help_sidebar_addinglanterns_text3,Créer des lanternes
##help_sidebar_addinglanterns_text4,"<color=#ffc50a>Les lanternes sont fabriquées dans l'établi.\n\nUne lanterne nécessite 1 soufre et 1 lingot de fer.</color>\n\nUne fois fabriquée, elle va devoir être entreposée dans une palette, assurez-vous d'avoir une palette vide dans votre base!\n\nUne fois construite, ouvrez le menu de structure, sélectionnez la lanterne et placez-là n'importe où."
##help_sidebar_addinglanterns_text5,<color=#ffc50a>Astuce:</color> Les lanternes peuvent être placées directement sur le sol ou sur un mur.
##help_sidebar_addinglanterns_text6,<color=#ffc50a>Appuyez sur Tab</color> ou sur le <color=#00ff15>Crochet Vert</color> pour confirmer votre construction.
##help_sidebar_addinglanterns_button,Continuer
##help_sidebar_endofachapter_title,Fin
##help_sidebar_endofachapter_text1,À L'Aventure!
##help_sidebar_endofachapter_text2,"Ceci est la fin du tutoriel. \n\nVous avez encore beaucoup à apprendre, jeune guerrier. Le monde de Castle Story est vaste, complexe et regorge de mystères! Consultez l'encyclopédie du savoir universel de Castle Story à l'adresse suivante: \n <color=#ffc50a>http://wiki.castlestory.net</color> \n\nNotre chaine Youtube sur la liste ""How to"": \n <color=#ffc50a>http://youtube.com/SauropodStudio</color> \n\nVous pouvez aussi parler à d'autres joueurs sur notre serveur Discord officiel: \n <color=#ffc50a>http://castlestory.net/Discord</color> \n\nAmusez-vous à explorer le monde de Castle Story!"
,
,
##gamemenu_actionwheel_jumpoff,Descendre
##gamemenu_actionwheel_jumpoff_text,Ordonne au Bricktron de descendre de son perchoir.
##gamemenu_actionwheel_cleanup,Nettoyer
##gamemenu_actionwheel_cleanup_text,Collecte les ressources qui gisent à l'endroit ciblé immédiatement.
##gamemenu_actionwheel_cleanupsimilar,Nettoyer
##gamemenu_actionwheel_cleanupsimilar_text,Collecte seulement les items du type choisi
##gamemenu_actionwheel_digvoxel,Creuser le Voxel
##gamemenu_actionwheel_digvoxel_text,Brise un voxel individuel et collecte ses ressources.
##gamemenu_actionwheel_moveattack,Offensive
##gamemenu_actionwheel_moveattack_text,Se déplace à l'endroit désiré en attaquant tout ennemi sur son chemin.
##gamemenu_actionwheel_detonate,Faire Exploser
##gamemenu_actionwheel_detonate_text,Envoie le Bricktron faire exploser ce baril
##gamemenu_actionwheel_holdfire,Cessez le Feu
##gamemenu_actionwheel_holdfire_text,Se retient de tirer des flèches.
##gamemenu_actionwheel_holdfireoff,Tire Automatique
##gamemenu_actionwheel_holdfireoff_text,Tire sur les ennemis à proximité.
##gamemenu_actionwheel_holdposition,Tenir sa Position
##gamemenu_actionwheel_holdposition_text,Ne bouge seulement que sur ordre du joueur.
##gamemenu_actionwheel_holdpositionoff,Mode Automatique
##gamemenu_actionwheel_holdpositionoff_text,Cherche activement du travail.
##gamemenu_actionwheel_defendon,Mode Défensif
##gamemenu_actionwheel_defendon_text,Tient sa position et bloque les projectiles.
##gamemenu_actionwheel_defendoff,Mode Aggressif
,
,
##gamemenu_actionwheel_artificer_heal,Mantra de Soin
##gamemenu_actionwheel_artificer_heal_text,Active un aura qui guérit les unités alliés
##gamemenu_actionwheel_artificer_fire,Mantra de Combat
##gamemenu_actionwheel_artificer_fire_text,Attaque les ennemis à proximité avec des projectiles magiques
##gamemenu_actionwheel_defendoff_text,Cherche à engager le combat avec les ennemis à proximité
##gamemenu_actionwheel_shootat,Tirer Vers
##gamemenu_actionwheel_shootat_text,Tire une flèche à l'endroit ciblé.
##gamemenu_actionwheel_pickup,Ramasser
##gamemenu_actionwheel_pickup_text,Se déplace vers l'item ciblé et tente de le ramasser.
##gamemenu_actionwheel_dropload,Déposer Cargo
##gamemenu_actionwheel_dropload_text,Se déplace et dépose sa cargaison à l'endroit ciblé.
##gamemenu_actionwheel_turntowards,Se Tourner Vers
##gamemenu_actionwheel_turntowards_text,Se tourne vers l'endroit ciblé.
##gamemenu_actionwheel_moveto,Se Déplacer Vers
##gamemenu_actionwheel_moveto_text,Marche ou cours vers l'endroit ciblé.
##gamemenu_actionwheel_jointask,Joindre Tâche
##gamemenu_actionwheel_jointask_text,Assigne les Bricktrons sélectionnés à cette tâche.
##gamemenu_actionwheel_takefrom,Prendre De
##gamemenu_actionwheel_takefrom_text,Se déplace vers la cible et en ramasse 1 unité.
##gamemenu_actionwheel_droploadinto,Déposer Cargo
##gamemenu_actionwheel_droploadinto_text,Se déplace et dépose sa cargaison à l'endroit ciblé.
##gamemenu_actionwheel_equipfromrack,S'équiper
##gamemenu_actionwheel_equipfromrack_text,S'équipe de ce que contient le râtelier.
##gamemenu_actionwheel_unequipintorack,Déséquiper
