Keys,English (Canada)
##help_sidebar_transformingrawresources_text4,"<color=#ffc50a>Press the Structures button</color> at the center left of the screen, and choose the <color=#ffc50a>Chopping Block</color>.\n\n<color=#ffc50a>Click on the ground</color> to place your structure. You should see the blueprint of a Chopping Block appear on the ground.\n\n<color=#ffc50a>Press Tab</color> or the <color=#00ff15>Green Checkmark</color> to apply the blueprint.\n\nOne of your Bricktrons should immediately grab a log and place it on the blueprint to create the chopping block."
##help_sidebar_transformingrawresources_button,Create a Chopping Block to continue
##help_sidebar_stockpilingyourresources_title,Resources
##help_sidebar_stockpilingyourresources_text1,Stockpiling Your Resources
##help_sidebar_stockpilingyourresources_text2,"Most resources need to be stockpiled for Bricktrons to be able to use them.\n\nStockpiles are needed to do that. In fact, <color=#ffc50a>you will need A LOT of stockpiles to run a village efficiently</color>."
##help_sidebar_stockpilingyourresources_text3,Creating stockpiles
##help_sidebar_stockpilingyourresources_text4,"<color=#ffc50a>Press the Structures button</color>, and choose the <color=#ffc50a>Stockpile</color> in the storage section.\n\n<color=#ffc50a>Place some stockpiles</color> on the ground.\n\n<color=#ffc50a>Press Tab to confirm the new blueprints</color>."
##help_sidebar_stockpilingyourresources_text5,<color=#ffc50a>Pro tip :</color> Several blueprints can be placed on the groud at once by <color=#ffc50a>click-dragging</color>. This is much more efficient than clicking them individually.
##help_sidebar_stockpilingyourresources_text6,You can see that a stockpile <color=#ffc50a>requires 1 plank to build</color> and that it can <color=#ffc50a>contain up to 12 planks</color>.
##help_sidebar_stockpilingyourresources_button,Create 6 Stockpiles to continue
##help_sidebar_gatheringcraftingmaterials_title,Crafting
##help_sidebar_gatheringcraftingmaterials_text1,Gathering crafting materials
##help_sidebar_gatheringcraftingmaterials_text2,"Right now, your village is completely defenseless. This is a problem we should fix, don't you think?\n\n<color=#ffc50a>Let's create some weapons!</color>\n\nFor that <color=#ffc50a>we'll need metal</color>."
##help_sidebar_gatheringcraftingmaterials_text3,Harvesting Iron & Brimstone
##help_sidebar_gatheringcraftingmaterials_text4,"Just like harvesting trees, to get raw Iron, <color=#ffc50a>go to the task tab</color>, find the <color=#ffc50a>harvest iron task</color>, and, <color=#ffc50a>place it on a nearby patch of iron</color>.\n\n<color=#ffc50a>Press Tab</color> to confirm the task placement.\n\nWe will also need to melt that metal into ingots. Brimstone is the resource we need.\n\nGo to the <color=#ffc50a>task tab</color>, click on <color=#ffc50a>harvest brimstone</color>, and <color=#ffc50a>place it on a nearby patch of brimstone</color>.\n\n<color=#ffc50a>Press Tab</color> to confirm the task placement."
##help_sidebar_gatheringcraftingmaterials_button,Gather Iron and Brimstone to continue
##help_sidebar_thefurnace_title,Crafting
##help_sidebar_thefurnace_text1,The Furnace
##help_sidebar_thefurnace_text2,"To melt the iron using brimstone, we will need to build <color=#ffc50a>a Furnace</color>. Furnaces require stone bricks.\n\nLet's harvest stone to make bricks!"
##help_sidebar_thefurnace_text3,Harvesting stone
##help_sidebar_thefurnace_text4,"In the <color=#ffc50a>tasks tab</color>, click <color=#ffc50a>harvest stone</color>, and place it <color=#ffc50a>on a nearby patch of boulders</color>.\n\nYour bricktrons should now gather all the resources needed to build your furnace and produce iron ingots. Awesome!"
##help_sidebar_thefurnace_text5,Building a furnace
##help_sidebar_thefurnace_text6,"In the <color=#ffc50a>structures tab</color>, click on the <color=#ffc50a>furnace</color>, and place its blueprint on the ground anywhere.\n\n<color=#ffc50a>Press Tab</color> or click on the <color=#00ff15>Green Checkmark</color> to confirm the new blueprint."
##help_sidebar_thefurnace_text7,<color=#ffc50a>Pro tip: A Furnace requires 4 bricks</color> to be built. Make sure you have filled at least one stockpile with stone.
##help_sidebar_thefurnace_button,Build a furnace to continue
##help_sidebar_smeltingiron_title,Crafting
##help_sidebar_smeltingiron_text1,The Furnace
##help_sidebar_smeltingiron_text2,Using a furnace
##help_sidebar_smeltingiron_text3,"Once your furnace is built, <color=#ffc50a>click on it</color>.\n\nThe furnace tab should appear in the taskbar at the bottom of your screen."
##help_sidebar_smeltingiron_text4,Click on the iron ingot button to add it the the queue. Click on it 5 times to <color=#ffc50a>queue 6 ingots</color>.
##help_sidebar_smeltingiron_text5,"<color=#ffc50a>Pro tip :</color> If you want to produce an infinite quantity of ingots, <color=#ffc50a>click on the cycle</color> button to <color=#ffc50a>loop the current queue forever</color> until you have no more resources or your stockpiles are full."
##help_sidebar_smeltingiron_button,Produce 3 ingots to continue
##help_sidebar_smeltingiron_tooltip_title,Smelt Ingots
##help_sidebar_smeltingiron_tooltip_text,Use the furnace to queue iron ingots.
##help_sidebar_workbenches_title,Crafting
##help_sidebar_workbenches_text1,Workbenches
##help_sidebar_workbenches_text2,"<color=#ffc50a>The workbench</color> is the most basic crafting station, it can craft halberdier kits, archer kits and lanterns.\n\nLet's craft a halberdier kit!"
##help_sidebar_workbenches_text3,Creating a workbench
##help_sidebar_workbenches_text4,"In the <color=#ffc50a>structures tab</color>, click on <color=#ffc50a>workbench</color>, and place it <color=#ffc50a>on the ground anywhere</color>."
##help_sidebar_workbenches_text5,"<color=#ffc50a>Pro tip :</color> If you want your workbench to face a specific direction, <color=#ffc50a>blueprints can be rotated with Right-Click</color>."
##help_sidebar_workbenches_text6,"Before we move on and create the halberdier kit, we'll need to create a weapon rack to store it."
##help_sidebar_workbenches_button,Create a workbench to continue
##help_sidebar_weaponrack_title,Crafting
##help_sidebar_weaponrack_text1,Weapon rack
##help_sidebar_weaponrack_text2,"Before we create our <color=#ffc50a>halberdier kit</color>, we need a <color=#ffc50a>weapon rack</color> to store it."
##help_sidebar_weaponrack_text3,Creating a weapon rack
##help_sidebar_weaponrack_text4,"In the <color=#ffc50a>stuctures tab</color>, click on the <color=#ffc50a>weapon rack</color>, and place it <color=#ffc50a>on the ground anywhere</color>.\n\nEach weapon rack can contain up to <color=#ffc50a>4 kits of the same class.</color>"
##help_sidebar_weaponrack_text5,"<color=#ffc50a>Pro tip:</color> To allow your Bricktrons to access the military kits faster, make sure to leave enough space on <color=#ffc50a>both sides of the weapon rack</color>!"
##help_sidebar_weaponrack_button,Create a weapon rack to continue
##help_sidebar_firstsoldier_title,Crafting
##help_sidebar_firstsoldier_text1,Creating your first soldier
##help_sidebar_firstsoldier_text2,Creating a halberdier kit
##help_sidebar_firstsoldier_text3,"Find your <color=#ffc50a>workbench</color> and <color=#ffc50a>click on it.</color>\n
In the taskbar popup, click on <color=#ffc50a>Halberdier Kit.</color> \n
A Bricktron will soon start working on the kit. The worker will craft 2 pieces: <color=#ffc50a>a Halberd</color> and <color=#ffc50a>a Helmet.</color> The pieces will each be stored in the weapon rack."
##help_sidebar_firstsoldier_text4,Pro tip: <color=#ffc50a>You need space in a weapon rack for the kit to be crafted.</color>
##help_sidebar_firstsoldier_text5,Equipping the kit
##help_sidebar_firstsoldier_text6,"Once those two pieces are stored in the weapon rack, <color=#ffc50a>select a Bricktron</color> and <color=#ffc50a>right-click on the rack</color>. Congratulations, you have your first soldier!"
##help_sidebar_firstsoldier_text7,"<color=#ffc50a>Pro tip:</color> Soldiers cannot be assigned to tasks, and cannot carry stuff around."
##help_sidebar_firstsoldier_button,Create a halberdier to continue
##help_sidebar_firstsoldier_tooltip_title,Queue a Halberdier
##help_sidebar_firstsoldier_tooltip_text,Use the Workbench to queue a halberdier kit.
##help_sidebar_craftinganarcher_title,Crafting
##help_sidebar_craftinganarcher_text1,Crafting an archer
##help_sidebar_craftinganarcher_text2,"Let's craft an archer kit! <color=#ffc50a>We will need Rope, Fabric and Planks.</color>"
##help_sidebar_craftinganarcher_text3,Gather some plants
##help_sidebar_craftinganarcher_text4,Rope and fabric are made with plant fiber. Place a harvest plants task on a nerby patch of ferns.
##help_sidebar_craftinganarcher_text5,<color=#ffc50a>Pro tip: make sure you have empty stockpiles for the plants</color>.
##help_sidebar_craftinganarcher_text6,Create a loom
##help_sidebar_craftinganarcher_text7,"The plants will need to be transformed into rope and fabric using a Loom. In the structures tabs, <color=#ffc50a>select a Loom,</color> and place it anywhere. \n\nOnce the loom is built, click on it, and <color=#ffc50a>queue 1 fabric roll, and 1 rope coil</color> in the taskbar popup."
##help_sidebar_craftinganarcher_text8,Create an archer kit
##help_sidebar_craftinganarcher_text9,"In the workbench, <color=#ffc50a>queue 1 archer kit.</color> If you have the required resources, a worker should get started immediately."
##help_sidebar_craftinganarcher_button,Equip an archer kit to continue
##help_sidebar_craftinganarcher_tooltip_title,Crafting an Archer
##help_sidebar_craftinganarcher_tooltip_text,Use the workbench to queue an archer kit.
##help_sidebar_spawningnewworkers_title,Building your Castle
##help_sidebar_spawningnewworkers_text1,Spawning New Workers
##help_sidebar_spawningnewworkers_text2,"<color=#ffc50a>Your home crystal generates energy passively.</color> This energy can be used to spawn new Bricktrons. \n
You can see this energy in the form of <color=#3a7bff>blue wisps</color> orbiting your home crystal. Once you have enough blue wisps, they will merge together to create a <color=#ffc50a>bright yellow wisp.</color>\n\nYou can see how much energy you have and how much is needed for the next Bricktron in the taskbar to popup above your home crystal."
##help_sidebar_spawningnewworkers_text3,Spawning a Bricktron
##help_sidebar_spawningnewworkers_text4,<color=#ffc50a>Click on the spawn a new Bricktron button</color> in the taskbar popup. A worker should appear instantly near your Home Crystal
##help_sidebar_spawningnewworkers_text5,<color=#ffc50a>Pro tip:</color> You can <color=#ffc50a>capture shards around the map</color> to help generate more energy.
##help_sidebar_spawningnewworkers_button,Spawn a new Bricktron to continue
##help_sidebar_spawningnewworkers_tooltip_title,Spawning Bricktrons
##help_sidebar_spawningnewworkers_tooltip_text,Open up the pie menu on your crystal or select the Idle task to spawn a new Bricktron.
##help_sidebar_makingbricks_title,Building your Castle
##help_sidebar_makingbricks_text1,Making bricks
##help_sidebar_makingbricks_text2,"Now that your village grew larger, let's create some walls to protect them. \n
<color=#ffc50a>We will need stone to make bricks</color>, lots of them! Let's make a quarry to gather more stone."
##help_sidebar_makingbricks_text3,Creating a Quarry
##help_sidebar_makingbricks_text4,"In the new tasks menu, <color=#ffc50a>select Quarry.</color>\n\nNow <color=#ffc50a>click on an empty patch of ground</color> to place the quarry. A yellow outline of a hole in the ground will appear."
##help_sidebar_makingbricks_text5,"<color=#ffc50a>Pro tip: Don't place your quarry on an existing structure or too close to your home crystal.</color> The Bricktons will either destroy the structures, or fail to dig the ground."
##help_sidebar_makingbricks_text6,You can <color=#ffc50a>move or change the dimensions</color> of the quarry by dragging the handles on the sides of the volume.\nYou can <color=#ffc50a>rotate the placement of the strairwell</color> in the taskbar popup.\n<color=#ffc50a>Press Tab</color> or the <color=#00ff15>Green Checkmark</color> to activate the new quarry.
##help_sidebar_makingbricks_button,Create a Quarry to continue
##help_sidebar_yourfirstwall_title,Building your Castle
##help_sidebar_yourfirstwall_text1,Making your first wall
##help_sidebar_yourfirstwall_text2,Let's place down some blueprint to create a wall!
##help_sidebar_yourfirstwall_text3,Creating a wall
##help_sidebar_yourfirstwall_text4,Click on the <color=#ffc50a>Brick menu</color> at the center left of the screen. Choose <color=#ffc50a>Standard brick.</color>Hover on the ground with your mouse will reveal a blue outline of a brick. This is a <color=#ffc50a>blueprint</color> \n<color=#ffc50a>Left-Click</color> once to place the brick. \n<color=#ffc50a>Right-Click</color> to rotate your blueprint. \n<color=#ffc50a>Drag-Click</color> to place an entire row of bricks. \n<color=#ffc50a>Ctrl-Click</color> on a blueprint to remove it.
##help_sidebar_yourfirstwall_text5,<color=#ffc50a>Pro tip:</color> You are in the blueprint mode while placing bricks. <color=#ffc50a>You cannot select Bricktrons or click on anything while in this mode</color>.
##help_sidebar_yourfirstwall_text6,<color=#ffc50a>Press Tab</color> or the <color=#00ff15>Green Checkmark</color> to confirm the new blueprints and exit blueprint mode.
##help_sidebar_yourfirstwall_button,Place some blueprints to continue
##help_sidebar_yourfirstwall_tooltip_title,Building a Wall
##help_sidebar_yourfirstwall_tooltip_text,Build a wall around your home crystal to protect it from Corruptrons!
##help_sidebar_addingdoors_title,Building your Castle
##help_sidebar_addingdoors_text1,Adding doors
##help_sidebar_addingdoors_text2,"Walls are much better at defending your Bricktrons if you can't simply walk around them. So <color=#ffc50a>the best walls should have at least 2 bricks high,</color> and should have no holes in them. \n\nOf course, now your Bricktrons won't be able to come in and out of your castle. Let's add a door for them."
##help_sidebar_addingdoors_text3,Creating a door
##help_sidebar_addingdoors_text4,"To create a door, <color=#ffc50a>make sure you have Planks and Iron ingots.</color> \n
Click on the <color=#ffc50a>structure button, choose the Door</color>, and place it where you want the castle's entrance to be."
##help_sidebar_addingdoors_text5,"<color=#ffc50a>Pro tip:</color> If you must place a door in an existing blueprint wall, <color=#ffc50a>Ctrl+Click</color> on the blueprints to create a hole and then place the door."
##help_sidebar_addingdoors_text6,"If needed, go back to the bricks tab and complete the wall around the door with bricks & half-bricks.\n\n<color=#ffc50a>Press Tab</color> or the <color=#00ff15>Green Checkmark</color> to confirm the new blueprints."
##help_sidebar_addingdoors_button,Continue
##help_sidebar_addinglanterns_title,Building your Castle
##help_sidebar_addinglanterns_text1,Adding lanterns
##help_sidebar_addinglanterns_text2,"It should be getting dark soon, if not already! You will want to illuminate your castle so you can keep working."
##help_sidebar_addinglanterns_text3,Creating lanterns
##help_sidebar_addinglanterns_text4,"<color=#ffc50a>Lanterns are crafted in the workbench.\n\nThey require 1 brimstones and 1 iron ingot.</color>\n\nOnce crafted they will be stored in a stockpile, so make sure you have an empty stockpile in your base!\n\nOpen the structure tab, select the lantern, and place a lantern blueprint anywhere."
##help_sidebar_addinglanterns_text5,<color=#ffc50a>Pro tip:</color> Lanterns can be placed directly on walls or on the ground. The choice is yours!
##help_sidebar_addinglanterns_text6,<color=#ffc50a>Press Tab</color> or the <color=#00ff15>Green Checkmark</color> to confirm the new blueprints.
##help_sidebar_addinglanterns_button,Continue
##help_sidebar_endofachapter_title,End
##help_sidebar_endofachapter_text1,Adventure Awaits
##help_sidebar_endofachapter_text2,"This is the end of this tutorial! \n\nThere are undoubtedly many more things you'd like to learn; the world of Castle Story is wide, complex and full of mysteries, secrets and intricate details. We do have some external references for you to learn more about the game.\n\nCheck out (and maybe contribute to?) the official Wiki: \n <color=#ffc50a>http://wiki.castlestory.net</color> \n\nOur Youtube channel's ""How To"" playlist also has helpful videos: \n <color=#ffc50a>http://youtube.com/SauropodStudio</color> \n\nYou can also ask fellow players in live chat on our official Discord: \n <color=#ffc50a>http://castlestory.net/Discord</color> \n\nHave fun exploring the great world of Castle Story!"
,
,
##gamemenu_actionwheel_jumpoff,Jump Off
##gamemenu_actionwheel_jumpoff_text,Make the Bricktron jump off a ledge.
##gamemenu_actionwheel_cleanup,Cleanup Now
##gamemenu_actionwheel_cleanup_text,Collect ressources lying on target location now.
##gamemenu_actionwheel_cleanupsimilar,Cleanup Similar
##gamemenu_actionwheel_cleanupsimilar_text,Collect only items of hovered type
##gamemenu_actionwheel_digvoxel,Dig Voxel
##gamemenu_actionwheel_digvoxel_text,Break an individual voxel and collect it's ressources.
##gamemenu_actionwheel_moveattack,Move Attack
##gamemenu_actionwheel_moveattack_text,Move to location and engage enemies.
##gamemenu_actionwheel_detonate,Go Detonate
##gamemenu_actionwheel_detonate_text,Send your bricktron to detonate this barrel.
##gamemenu_actionwheel_holdfire,Hold Fire
##gamemenu_actionwheel_holdfire_text,Refrain from shooting arrows.
##gamemenu_actionwheel_holdfireoff,Auto Shoot
##gamemenu_actionwheel_holdfireoff_text,Shoot at nearby enemies
##gamemenu_actionwheel_holdposition,Hold Position
##gamemenu_actionwheel_holdposition_text,Only move on player order
##gamemenu_actionwheel_holdpositionoff,Auto Mode
##gamemenu_actionwheel_holdpositionoff_text,Actively seek out work to do
##gamemenu_actionwheel_defendon,Defensive Mode
##gamemenu_actionwheel_defendon_text,Hold position and block incoming projectiles
##gamemenu_actionwheel_defendoff,Aggressive Mode
,
,
##gamemenu_actionwheel_artificer_heal,Healing Stance
##gamemenu_actionwheel_artificer_heal_text,Activates aura to heal nearby friendly units
##gamemenu_actionwheel_artificer_fire,Attack Stance
##gamemenu_actionwheel_artificer_fire_text,Automaticaly cast magic at nearby enemies.
##gamemenu_actionwheel_defendoff_text,Seek and attack nearby enemies
##gamemenu_actionwheel_shootat,Shoot At
##gamemenu_actionwheel_shootat_text,Shoot an arrow towards target location.
##gamemenu_actionwheel_pickup,Pick Up
##gamemenu_actionwheel_pickup_text,Move to item and attempt to pick it up.
##gamemenu_actionwheel_dropload,Drop Load
##gamemenu_actionwheel_dropload_text,Move and drop carried item at target location.
##gamemenu_actionwheel_turntowards,Turn Towards
##gamemenu_actionwheel_turntowards_text,Turn towards target location.
##gamemenu_actionwheel_moveto,Move To
##gamemenu_actionwheel_moveto_text,Walk or run to target location.
##gamemenu_actionwheel_jointask,Join Task
##gamemenu_actionwheel_jointask_text,Assign selected Bricktrons to this task.
##gamemenu_actionwheel_takefrom,Take From
##gamemenu_actionwheel_takefrom_text,Move to target and grab 1 item from it.
##gamemenu_actionwheel_droploadinto,Drop Load Into
##gamemenu_actionwheel_droploadinto_text,Move and drop carried item at target location.
##gamemenu_actionwheel_equipfromrack,Equip Content
##gamemenu_actionwheel_equipfromrack_text,Equip weapons and gear.
##gamemenu_actionwheel_unequipintorack,Unequip Into
##gamemenu_actionwheel_unequipintorack_text,Unequips currently worn equipment.
##gamemenu_actionwheel_equiptools,Equip Tools
##gamemenu_actionwheel_equiptools_text,Equip tool to gain abilities
##gamemenu_actionwheel_unequiptools,Unequip Tools
##gamemenu_actionwheel_unequiptools_text,Drop all tools to become a builder
##gamemenu_actionwheel_breakobject,Break Object
##gamemenu_actionwheel_breakobject_text,"Destroy this object, RAWRRR!"
##gamemenu_actionwheel_cuttree,Cut Tree
##gamemenu_actionwheel_cuttree_text,Cut this tree into 3 usable wooden logs.
##gamemenu_actionwheel_harvestrocks,Harvest Rocks
##gamemenu_actionwheel_harvestrocks_text,Harvest these rocks to obtain stone fragments
##gamemenu_actionwheel_harvestcrystals,Harvest Crystals
##gamemenu_actionwheel_harvestcrystals_text,Harvest these minerals to obtain crystal fragments.
##gamemenu_actionwheel_harvestplants,Harvest Plants
##gamemenu_actionwheel_harvestplants_text,Harvest these plants to obtain fibre.
##gamemenu_actionwheel_armbeartrap,Arm Bear Trap
##gamemenu_actionwheel_armbeartrap_text,Activates the spring locks on the trap.
,
##gamemenu_stockpilewheel_autoconvertstone,Auto Convert Stone
##gamemenu_stockpilewheel_autoconvertstone_text,Rock will be automatically converted to stone blocks.
##gamemenu_stockpilewheel_manualconvert,Manual Convert
##gamemenu_stockpilewheel_acceptnone,Keep Empty
##gamemenu_stockpilewheel_acceptnone_text,Bricktrons will ignore this stockpile
##gamemenu_stockpilewheel_acceptall,Accept any
##gamemenu_stockpilewheel_acceptall_text,Any resource can go in this stockpile
,
##gamemenu_stockpilewheel_exclusivity_hub,Accept only
##gamemenu_stockpilewheel_exclusivity_hub_text,See all raw resources
,
##gamemenu_stockpilewheel_stone,Stone
##gamemenu_stockpilewheel_stone_text,Only accept stone
##gamemenu_stockpilewheel_brick,Brick
##gamemenu_stockpilewheel_brick_text,Only accept bricks
##gamemenu_stockpilewheel_wood,Wood
##gamemenu_stockpilewheel_wood_text,Only accept wood
##gamemenu_stockpilewheel_plank,Plank
##gamemenu_stockpilewheel_plank_text,Only accept planks
##gamemenu_stockpilewheel_plant,Plant
##gamemenu_stockpilewheel_plant_text,Only accept plants
##gamemenu_stockpilewheel_iron,Iron
##gamemenu_stockpilewheel_iron_text,Only accept iron
##gamemenu_stockpilewheel_brimstone,Brimstone
##gamemenu_stockpilewheel_brimstone_text,Only accept brimstone
##gamemenu_stockpilewheel_bluecrystal,Blue Crystal
##gamemenu_stockpilewheel_bluecrystal_text,Only accept blue crystal
##gamemenu_stockpilewheel_iron_ingot,Iron ingot
##gamemenu_stockpilewheel_iron_ingot_text,Only accept iron ingots
##gamemenu_stockpilewheel_rope,Rope
##gamemenu_stockpilewheel_rope_text,Only accept rope
##gamemenu_stockpilewheel_fabric,Fabric
##gamemenu_stockpilewheel_fabric_text,Only accept fabric
##gamemenu_stockpilewheel_glass,Glass
##gamemenu_stockpilewheel_glass_text,Only accept glass
##gamemenu_stockpilewheel_cog,Cog
##gamemenu_stockpilewheel_cog_text,Only accept cogs
##gamemenu_stockpilewheel_bomb,Bomb
##gamemenu_stockpilewheel_bomb_text,Only accept bombs
##gamemenu_stockpilewheel_explosivebarrel,Explosive Barrel
##gamemenu_stockpilewheel_explosivebarrel_text,Only accept explosive barrel
,
##gamemenu_stockpilewheel_sentinel_ward,Sentinel Ward
##gamemenu_stockpilewheel_sentinel_ward_text,Only accept sentinel wards
##gamemenu_stockpilewheel_healing_ward,Healing Ward
##gamemenu_stockpilewheel_healing_ward_text,Only accept healing wards
##gamemenu_stockpilewheel_lantern_ward,Lantern Ward
##gamemenu_stockpilewheel_lantern_ward_text,Only accept lantern wards
##gamemenu_stockpilewheel_capture_ward,Capture Ward
##gamemenu_stockpilewheel_capture_ward_text,Only accept capture wards
##gamemenu_stockpilewheel_pylon_ward,Pylon Ward
##gamemenu_stockpilewheel_pylon_ward_text,Only accept pylon
##gamemenu_stockpilewheel_trap,Bear Trap
##gamemenu_stockpilewheel_trap_text,Only accept traps
,
,
##gamemenu_crystalwheel_spawnworker,Spawn Worker
##gamemenu_crystalwheel_spawnworker_text,Use energy to create a Bricktron worker.
##gamemenu_crystalwheel_recallworkers,Recall Workers
##gamemenu_crystalwheel_recallworkers_text,Make workers hurry back to the home crystal.
##gamemenu_crystalwheel_calltoarms,Call to Arms!
##gamemenu_crystalwheel_calltoarms_text,Make workers arm themselves in a desperate gambit to fend off attackers
##gamemenu_crystalwheel_backtowork,Back to Work
##gamemenu_crystalwheel_backtowork_text,Order Bricktrons to drop their equipment at the nearest weapon racks
,
##gamemenu_doorwheel_lock,Lock
##gamemenu_doorwheel_lock_text,Lock this door to protect your Bricktrons.
##gamemenu_doorwheel_unlock,Unlock
##gamemenu_doorwheel_unlock_text,Unlock this door to your Bricktrons through.
,
##gamemenu_catapultwheel_cleartarget,Clear Target
##gamemenu_catapultwheel_cleartarget_text,Unschedule catapult's firing orders.
##gamemenu_catapultwheel_settarget,Set Target
##gamemenu_catapultwheel_settarget_text,Click on the terrain to aim this catapult.
##gamemenu_catapultwheel_fire,Fire
##gamemenu_catapultwheel_fire_text,Launch the catapult's projectile into the air.
##gamemenu_catapultwheel_holdfire,Hold Fire
##gamemenu_catapultwheel_holdfire_text,Do not fire until further notice
##gamemenu_catapultwheel_fireonce,Fire Once
##gamemenu_catapultwheel_fireonce_text,Fires a projectile once
##gamemenu_catapultwheel_fireatwill,Fire at Will
##gamemenu_catapultwheel_fireatwill_text,Reload and fire every reachable barrels
##gamemenu_catapultwheel_assignto,Assign To
##gamemenu_catapultwheel_assignto_text,Assign a Bricktron to operate this catapult.
##gamemenu_catapultwheel_load,Load with Ammo
##gamemenu_catapultwheel_load_text,Place ammo to be fired by the catapult.
##gamemenu_catapultwheel_unload,Unload Ammo
##gamemenu_catapultwheel_unload_text,Remove ammo from the catapult.
##gamemenu_catapultwheel_work,Crank and Aim
##gamemenu_catapultwheel_work_text,Get the catapult ready to fire.
,
##gamemenu_generictaskwheel_selectworkers,Select Workers
##gamemenu_generictaskwheel_selectworkers_text,Select all Bricktrons doing this task.
##gamemenu_generictaskwheel_removeworkers,Remove Workers
##gamemenu_generictaskwheel_removeworkers_text,Unassign all Bricktrons from this task.
##gamemenu_generictaskwheel_deletetask,Delete Task
##gamemenu_generictaskwheel_deletetask_text,Deletes the currently selected task.
,
##gamemenu_toolrackwheel_exclusivityhub,Accept only
##gamemenu_toolrackwheel_exclusive_none,Keep empty
##gamemenu_toolrackwheel_exclusive_none_text,Bricktrons will ignore this weapon rack
##gamemenu_toolrackwheel_exclusive_all,Accept any
##gamemenu_toolrackwheel_exclusive_all_text,Remove weapon rack restriction
##gamemenu_toolrackwheel_exclusive_knight,Knight
##gamemenu_toolrackwheel_exclusive_knight_text,Only store knight kits
##gamemenu_toolrackwheel_exclusive_archer,Archer
##gamemenu_toolrackwheel_exclusive_archer_text,Only store archer kits
##gamemenu_toolrackwheel_exclusive_arbalest,Arbalist
##gamemenu_toolrackwheel_exclusive_arbalest_text,Only store arbalest kits
##gamemenu_toolrackwheel_exclusive_geomancer,Artificer
##gamemenu_toolrackwheel_exclusive_geomancer_text,Only store artificer kits
##gamemenu_toolrackwheel_exclusive_alchemist,Alchemist
##gamemenu_toolrackwheel_exclusive_alchemist_text,Only store alchemist kits
##gamemenu_toolrackwheel_exclusive_halberdier,Halberdier
##gamemenu_toolrackwheel_exclusive_halberdier_text,Only store halberdier kits
,
##gamemenu_selecttaskwheel_repairtask,Repair Task
##gamemenu_selecttaskwheel_repairtask_text,Repair all bricks in the area.
##gamemenu_selecttaskwheel_landscapetask,Flatten Task
##gamemenu_selecttaskwheel_landscapetask_text,Flat out the area.
##gamemenu_selecttaskwheel_constructiontask,Construction Task
##gamemenu_selecttaskwheel_constructiontask_text,Build structures and place blocks.
##gamemenu_selecttaskwheel_quarry,Quarry
##gamemenu_selecttaskwheel_quarry_text,Gather stones from the ground to stockpile.
##gamemenu_selecttaskwheel_harvestask,Harvest Task
##gamemenu_selecttaskwheel_harvestask_text,Harvest ressources and bring them to stockpiles.
##gamemenu_selecttaskwheel_cleaningtask,Cleaning Task
##gamemenu_selecttaskwheel_cleaningtask_text,Collect ressources that are lying on the ground.
##gamemenu_selecttaskwheel_tunnel,Tunnel
##gamemenu_selecttaskwheel_tunnel_text,Gather stone from walls and cliffs.
##gamemenu_selecttaskwheel_deselectgroup,Deselect Group
##gamemenu_selecttaskwheel_deselectgroup_text,Deselect the current group.
,
##gamemenu_constructionwheel_brickshub,Bricks Hub
##gamemenu_constructionwheel_brickshub_text,Build block variants such as stairs and pillars.
##gamemenu_constructionwheel_brick,Brick
##gamemenu_constructionwheel_brick_text,The standard 1 by 2 brick used to build walls.
##gamemenu_constructionwheel_halfbrick,Half Brick
##gamemenu_constructionwheel_halfbrick_text,A 1 by 1 block used to patch holes in walls.
##gamemenu_constructionwheel_arch,Arch
##gamemenu_constructionwheel_arch_text,Bricktrons travel on arches or can cross under them.
##gamemenu_constructionwheel_stair,Stairs Brick
##gamemenu_constructionwheel_stair_text,Use stairs bricks to build higher.
##gamemenu_constructionwheel_stairsingle,Stairs Block
##gamemenu_constructionwheel_stairsingle_text,Only the stairs half of a stairs brick.
##gamemenu_constructionwheel_stairspiralleft,Left Spiral Stairs
##gamemenu_constructionwheel_stairspiralleft_text,A spiral stairs brick.
##gamemenu_constructionwheel_stairspiralright,Right Spiral Stairs
##gamemenu_constructionwheel_stairspiralright_text,A spiral stairs brick.
##gamemenu_constructionwheel_staircornerleft,Left Corner Stairs
##gamemenu_constructionwheel_staircornerleft_text,A corner stairs brick.
##gamemenu_constructionwheel_staircornerright,Right Corner Stairs
##gamemenu_constructionwheel_staircornerright_text,A corner stairs brick.
##gamemenu_constructionwheel_staircornersingle,Inward Corner Stairs Block
##gamemenu_constructionwheel_staircornersingle_text,Only the stairs half of a corner stairs brick.
##gamemenu_constructionwheel_invertstaircornersingle,Outward Corner Stairs Block
##gamemenu_constructionwheel_invertstaircornersingle_text,A stairs corner brick for outward stairs
##gamemenu_constructionwheel_curvedright,Curved Right
##gamemenu_constructionwheel_curvedright_text,"A 1 by 2 brick used to build walls, curved right."
##gamemenu_constructionwheel_curvedleft,Curved Left
##gamemenu_constructionwheel_curvedleft_text,"A 1 by 2 brick used to build walls, curved left."
##gamemenu_constructionwheel_curvedbrick,Curved Brick
##gamemenu_constructionwheel_curvedbrick_text,"A 1 by 2 brick used to build walls, half-curved."
##gamemenu_constructionwheel_stonecolumn_basic,Stone Column
##gamemenu_constructionwheel_stonecolumn_basic_text,The go-to block for solid stone support.
